เส้นทางต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Ekkamai,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phra Khanong,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,On Nut,47
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Bang Chak,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Punnawithi,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Udom Suk,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Bang Na,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Bearing,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Samrong,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Pu Chao,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Chang Erawan,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Royal Thai Naval Academy,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Pak Nam,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Srinagarindra,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Phraek Sa,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Sai Luat,62
สายสุขุมวิท,Saphan Mai,สายสุขุมวิท,Kheha,62
สายสุขุมวิท,Saphan Mai,สายสีลม,National Stadium,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Ratchadamri,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Sala Daeng,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Chong Nonsi,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Saint Louis,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Surasak,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Saphan Taksin,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Krung Thon Buri,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Wongwian Yai,47
สายสุขุมวิท,Saphan Mai,สายสีลม,Pho Nimit,62
สายสุขุมวิท,Saphan Mai,สายสีลม,Talat Phlu,62
สายสุขุมวิท,Saphan Mai,สายสีลม,Wutthakat,62
สายสุขุมวิท,Saphan Mai,สายสีลม,Bang Wa,62 
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Khu Khot, 0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Yaek Kor Por Aor,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Royal Thai Air Force Museum,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Bhumibol Adulyadej Hospital,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Saphan Mai,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Sai Yud,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Phahon Yothin 59,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Wat Phra Sri Mahathat,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,11th Infantry Regiment,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Bang Bua,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Royal Forest Department,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Kasetsart University,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Sena Nikhom,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Ratchayothin,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Phahon Yothin 24,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Ha Yaek Lat Phrao,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Mo Chit,0
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Saphan Khwai,17
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Ari,28
สายสุขุมวิท,Sai Yud,สายสุขุมวิท,Sanam Pao,32
